Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
BAYLEASING,Bay Leasing & Investment Limited,24.40,24.40,3:45 PM,24.20 - 24.90,-0.2,19.74,-0.81%,24.10 - 38.10,24.30,"811,935.00",24.60,496,24.60,"3,465.856","3,000.00",,"1,408.88",Equity,10.0,1,"140,888,443",Financial Institutions,"Eunoos Trade Centre, Level-18, rn52-53 Dilkusha C/A, Dhaka-1000",02223352504 (Hunting),02223352503,info@blilbd.com,http://www.blilbd.com,Sharmin Akhter,01793477212,+88 02 223352504 (Hunting),sharmin@blilbd.com
BBS,Bangladesh Building Systems Ltd.,22.00,22.00,3:45 PM,21.70 - 22.30,0,15.75,0.00%,15.50 - 31.70,21.70,"716,726.00",22.00,406,22.00,"3,584.454","5,000.00","08 Oct, 2013","1,629.30",Equity,10.0,1,"162,929,733",Engineering,"Configure Bepari Tower (4th Floor), 64/GA,  Middle Badda, Progati Sarani, Dhaka-1212","02-222294771, 222295915, 222288916, 222298917, 02-222264475",02-222264476,mohsin@bbspeb.com,http://www.bbspeb.com,Mohammad Mohsin,01713114558,+88-02-9854475 (Ext.103),mohsin@bbspeb.com
BBSCABLES,BBS Cables Limited,53.20,53.20,3:45 PM,52.10 - 53.80,0.1,9.16,0.19%,51.70 - 83.70,52.20,"173,365.00",53.10,323,53.10,"10,706.465","3,000.00","31 Jul, 2017","2,016.28",Equity,10.0,1,"201,628,350",Engineering,"Configure Bapari Tower (3rd Floor), Ga-64, Middle Badda, Dhaka-1212.","02-222294771, 222295915, 222288916, 222298917, 02-222264475","02-222260772, 02-222264476",secretary@bbscables.com.bd,http://www.bbscables.com.bd,Golam Habib,01717968746,"02984475, Ext: 102",habib@bbscables.com.bd
BDAUTOCA,Bangladesh Autocars Ltd.,144.80,144.80,3:45 PM,144.80 - 146.80,-2.9,4.55,-1.96%,120.00 - 198.00,144.80,"31,443.00",147.70,101,147.70,638.952,100.00,,43.26,Equity,10.0,1,"4,326,013",Engineering,"110, Tejgaon I/A, Dhaka - 1208",8870467-8,88 - 02 - 8870469,info@bdautocars110.com,http://www.bdautocars.com/,Md. Shariful Islam,01730714732,,cs@bdautocars110.com
BDCOM,BDCOM Online Ltd.,31.90,31.90,3:45 PM,31.90 - 32.80,-0.6,45.52,-1.85%,22.00 - 47.40,31.90,"1,423,285.00",32.50,993,32.50,"1,855.311","1,000.00",,570.86,Equity,10.0,1,"57,086,500",IT Sector,"JL Bhaban (4th & 5th floor) House # 01, Road # 01, Gulshan Avenue, Gulshan # 1, Dhaka - 1212","09666333666, '09666333697 09666333699 01713339850 01716057251",,bdcomshare@office.bdcom.com,http://www.bdcom.com,A.K.M. Kutub Uddin,01741896081,09666333610,kutub@office.bdcom.com
BDFINANCE,Bangladesh Finance Limited,44.20,44.20,3:45 PM,44.20 - 45.50,-0.9,5.57,-2.00%,38.20 - 73.00,45.10,"125,711.00",45.10,144,45.10,"8,008.920","6,000.00",,"1,775.81",Equity,10.0,1,"177,581,384",Financial Institutions,"Baitul Hossain Building (2nd Floor), 27, Dilkusha C/A, Dhaka-1000, Bangladesh",+88 02223385097,+88 02 9566493,info@bd.finance,http://www.bd.finance,"Munshi Abu Naim, ACS",01618 448756,+88 02223385097,naim@bd.finance
BDLAMPS,Bangladesh Lamps Limited,266.20,266.20,3:45 PM,259.50 - 269.50,1.6,18.48,0.60%,167.10 - 372.00,259.50,"69,993.00",264.60,620,264.60,"2,479.463",500.00,,94.00,Equity,10.0,1,"9,370,608",Engineering,"House # 22, Road # 4, Block # F, Banani, Dhaka-1213","9855371-80, 55052072",9887373,ruhan.miah@transcombd.com,http://www.bll.com.bd,Mohammad Ruhan Miah,01817042431,55052072,ruhan.miah@transcombd.com
BDTHAI,Bd.Thai Aluminium Ltd.,17.50,17.50,3:45 PM,17.50 - 17.90,-0.3,10.32,-1.69%,16.40 - 31.50,17.50,"588,832.00",17.80,354,17.80,"2,274.399","2,000.00",,"1,277.75",Equity,10.0,1,"127,775,250",Engineering,"BTA Tower,  Building #  29, Kemal Ataturk Avenue,  Road # 17,  Banani C/A, Dhaka - 1213","9821574-77, Ext-148",88-02-9821573,bta@btaalu.com,http://www.btaalu.com,Ashim Kumar Barua,1711405181,"9821574-77, Ext-146",ashimkumar745@gmail.com
BDTHAIFOOD,BD Thai Food & Beverage Limited,35.80,35.40,3:45 PM,34.90 - 36.00,0.2,7.84,0.56%,11.00 - 49.80,34.90,"220,601.00",35.60,448,35.60,"2,901.400","1,000.00","24 Jan, 2022",815.00,Equity,10.0,1,"81,500,000",Food & Allied,"BTA Tower (8th Floor), 29 Kemal Ataturk Avenue, Road no.-17, Banani C/A, Dhaka-1213",+880-02-222275571,+880-02-9821573,info@btfbl.com,http://www.btfbl.com,Md. Habibur Rahman,01713155102,,cs@btfbl.com
BDWELDING,Bangladesh Welding Electrodes Ltd.,23.00,23.00,3:45 PM,23.00 - 23.50,-0.4,9.30,-1.71%,15.80 - 26.80,23.00,"403,471.00",23.40,320,23.40,"1,014.374",500.00,,433.49,Equity,10.0,1,"43,349,305",Fuel & Power,"Mukta Bangla Shopping Complex\r\nSpace No. 189-192\r\n7th Floor, East Side\r\nMirpur Section-1\r\nDhaka-1216.","9551490, 9561236",880 - 02 - 9561236,ceo@bwel.com,http://www.bwelbd.com,,,,
BEACHHATCH,Beach Hatchery Ltd.,42.70,42.40,3:45 PM,42.10 - 43.90,-0.2,10.44,-0.47%,17.00 - 49.00,42.10,"247,694.00",42.90,200,42.90,"1,776.104","2,000.00",,414.00,Equity,10.0,1,"41,401,021",Food & Allied,"House# B-139 (3rd Flr), Road#22, DOHS, Mohakhali, Dhaka",9833506,9833507,msfldhaka@gmail.com,http://bhlbd.net,Md.Nur Islam,1714034997,9833506,msfldhaka@gmail.com
BEACONPHAR,Beacon Pharmaceuticals Limited,252.40,251.40,3:45 PM,247.70 - 253.40,-0.3,10.06,-0.12%,172.50 - 307.00,247.80,"40,237.00",252.70,294,252.70,"58,373.700","3,000.00","12 Aug, 2010","2,310.00",Equity,10.0,1,"231,000,000",Pharmaceuticals & Chemicals,"9/B/2, Toyenbee Circular Road, Motijheel C/A, Dhaka-1000.","+880-2-57165371-6, Ext-102",+880-2-57165379-80,beacon@beaconpharma.com.bd,http://www.beaconpharma.com.bd,Mr. Khalilur Rahman ACS,01730025982,"57165371-6, Ext-102",khalilur-acc@beaconpharma.com.bd
BENGALWTL,Bengal Windsor Thermoplastics Ltd.,22.90,22.90,3:45 PM,22.30 - 23.40,0.2,6.45,0.88%,20.40 - 32.50,22.30,"285,221.00",22.70,194,22.70,"2,076.505","1,000.00","16 Apr, 2013",914.76,Equity,10.0,1,"91,476,000",Engineering,"Bengal House, 75 Gulshan Avenue, Gulshan 1,Dhaka-1212",9888248-49 Ext-1368,29847507,caffairs1@bengal.com.bd,http://www.windsor.bengalgroup.com,"Rajib Chakraborty, ACS",01971044199,9888248-49 Ext-1041,rchakraborty@bengal.com.bd
BERGERPBL,Berger Paints Bangladesh Ltd.,"1,716.00","1,716.00",3:45 PM,"1,715.00 - 1,764.00",-31,1.31,-1.77%,"1,650.00 - 1,940.90","1,764.00",764.00,"1,747.00",43,"1,747.00","81,022.156","1,000.00",,463.78,Equity,10.0,1,"46,377,880",Miscellaneous,"Berger House#8, Road#2,Sector#3,Uttara Model Town, Dhaka-1230","+88-2-48953665, +88-2-48953665",+88-02-48951350,info@bergerbd.com,https://www.bergerbd.com,Khandker Abu Jafar Sadique,01713279723,+88-2-48953665,jafar@bergerbd.com
BEXGSUKUK,Beximco Green Sukuk Al Istisna'a,85.00,85.00,3:45 PM,85.00 - 86.00,-1,11.97,-1.16%,85.00 - 110.00,86.00,"140,186.00",86.00,77,86.00,"25,800.000",-,"13 Jan, 2022","30,000.00",Corporate Bond,100.0,1,"300,000,000",Corporate Bond,,,,-,,,,,
BEXIMCO,Bangladesh Export Import Company Ltd.,118.90,118.90,3:45 PM,118.70 - 122.00,-2.2,522.26,-1.82%,88.60 - 187.90,118.70,"4,362,146.00",121.10,"3,350",121.10,"106,122.216","10,000.00",,"8,763.19",Equity,10.0,1,"876,318,879",Miscellaneous,"17, Dhanmondi R/A, Road # 02, Dhaka - 1205","58611891-5, 58612040-7 , 58611891-5, 58612040-7, Ext.10149","58613470, 9615523",bexcsd@beximco.net,http://www.beximco.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7,  Ext.-10140",csdbexim@bol-online.com
BGIC,Bangladesh General Insurance Company Ltd.,39.30,39.30,3:45 PM,39.30 - 39.80,-0.8,0.71,-2.00%,39.30 - 65.00,39.30,"17,985.00",40.10,60,40.10,"2,166.493","1,000.00",,540.27,Equity,10.0,1,"54,027,255",Insurance,"42, Dilkusha C/A, Dhaka - 1000","02223380379, 02223383056-8",02223384212,bgicinsurance@yahoo.com,http://www.bgicinsure.com,Saifuddin Ahmed,01715-246961,02223383057,ahmedsaifuddin@yahoo.com
BIFC,Bangladesh Industrial Fin. Co. Ltd.,8.60,8.60,3:45 PM,8.00 - 8.60,0.7,5.94,8.86%,5.60 - 9.40,8.00,"705,950.00",7.90,299,7.90,795.372,"4,000.00",,"1,006.79",Equity,10.0,1,"100,679,944",Financial Institutions,"Police Plaza Concord (Tower-2), Level- 8, Plot # 02, Road # 144\r\nGulshan, Dhaka.","09611888333,  02-55045123-5",02-55045128,info@bifcol.com,http://www.bifcol.com,Md. Ahsan Ullah,1729097124,"02-55045123-5, Ext: 108",ahsanullah@bifcol.com
BNICL,Bangladesh National Insurance Company Limited,59.90,59.90,3:45 PM,59.90 - 62.60,-1.2,3.40,-1.96%,59.90 - 171.90,62.60,"55,991.00",61.10,149,61.10,"2,703.675","1,000.00","21 Apr, 2016",442.50,Equity,10.0,1,"44,250,000",Insurance,"Rashid Tower (3rd floor),rnHoue No. 11, Road No. 18 , Gulshan-1,Dhaka-1212","8832234-5, 8832215, 8832217, 9555704, 01713013710",88-02-8832154,mail@bnicl.net,http://www.bnicl.net,Md. Masud Rana,01711582560,"01713-013710, 8832215, 8832217",cs@bnicl.net
BPML,Bashundhara Paper Mills Limited,51.10,51.10,3:45 PM,50.50 - 51.90,-0.4,16.79,-0.78%,42.10 - 72.60,50.60,"330,772.00",51.50,408,51.50,"8,950.259","5,000.00","02 Jul, 2018","1,737.91",Equity,10.0,1,"173,791,441",Paper & Printing,"Bashundhara Industrial Headquarters-2,rnPlot#56/A, Block #C Umme Kulsum Road, BashundharaR/A, Dhaka-1229","+ 88 02 8432289-93, + 88 02 8432289-93",+ 88 02 8432305,info.paper@bg.com.bd,http://www.bashundharapapermills.com,M. Mazedul Islam,01766694713,"+88 02 8432289-93, ext-4452",mazedul.islam@bg.com.bd
BPPL,Baraka Patenga Power Limited,30.80,30.80,3:45 PM,30.80 - 31.50,-0.6,11.88,-1.91%,29.80 - 55.00,30.80,"385,331.00",31.40,531,31.40,"5,432.058","3,000.00","15 Jul, 2021","1,729.95",Equity,10.0,1,"172,995,488",Fuel & Power,"6/A/I (1st & 2nd floor), Segunbagicha, Dhaka-1000, Bangladesh","+88-02-223380339, 47115792",+88-02-223383117,info@bpplbd.com,http://www.bpplbd.com,Mohammad Rana,'01531548499,"'+88-02-223380339, 47115792 (Ext. 115)",rana@barakapower.com
BRACBANK,BRAC Bank Ltd.,37.80,37.80,3:45 PM,37.50 - 39.50,-0.2,21.23,-0.53%,37.30 - 61.50,37.80,"557,009.00",38.00,622,38.00,"56,870.242","20,000.00",,"14,965.80",Equity,10.0,1,"1,496,585,328",Bank,"Anik Tower, 220/B, Tejgaon I/A, Tejgaon Gulshan Link Road,  Dhaka-1208","09677555124, 09677555125",+88 02 222298910,enquiry@bracbank.com; sharedept@bracbank.com,http://www.bracbank.com,Mohammad Mahbubur Rahman FCS,01713060835,09677552038; or Ext. 52038,mahbubur.rahman@bracbank.com
BSC,Bangladesh Shipping Corporation,110.30,110.30,3:45 PM,105.20 - 111.70,3.3,109.40,3.08%,43.80 - 155.90,107.00,"998,664.00",107.00,"1,806",107.00,"16,321.249","10,000.00",,"1,525.35",Equity,10.0,1,"152,535,040",Miscellaneous,"BSC Bhaban, Saltgola Road, P.O Box # 641, Chattogram- 4100.","01675325248, 031-724479","031-724479,  031-722380",secybsc@gmail.com,http://www.bsc.gov.bd,Muhammad Ashraf Hossain,'01711204177,'031-724479,secy@bsc.gov.bd
BSCCL,Bangladesh Submarine Cable Company Limited,224.80,224.80,3:45 PM,215.50 - 233.70,8.2,66.78,3.79%,175.00 - 256.00,216.60,"296,419.00",216.60,784,216.60,"35,718.533","10,000.00","14 Jun, 2012","1,649.06",Equity,10.0,1,"164,905,510",Telecommunication,"Rahmans\' Regnum Center (7th & 8th Floor), 191, Tejgaon-Gulshan Link Road, Dhaka-1208.","880-2-8879194-95, 8879192, 880-2-8878162","880-2-8879193, 880-2-9333125",cs@bsccl.com,http://www.bsccl.com.bd,Md. Abdus Salam Khan,01552369905,880-2-8879240,cs@bsccl.com
BSRMLTD,Bangladesh Steel Re-Rolling Mills Limited,92.10,92.30,3:45 PM,90.00 - 92.70,0.3,7.88,0.33%,87.00 - 124.50,91.80,"86,587.00",91.80,303,91.80,"27,410.069","5,000.00","27 Apr, 2015","2,985.85",Equity,10.0,1,"298,584,626",Engineering,"Corporate Office: Ali Mansion, 1207/1099, Sadarghat Road, Chattogram- 4000.rnDhaka Office: Nasiruddin Tower (4th Floor), Bir Uttam Samsul Alam Road, 104/1, Kakrail Dhaka -1000.",+880 2333354901-10,+02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
BSRMSTEEL,BSRM Steels Limited,63.90,63.90,3:45 PM,63.60 - 65.80,-0.8,9.49,-1.24%,57.50 - 82.50,65.80,"148,208.00",64.70,279,64.70,"24,324.127","5,000.00",,"3,759.53",Equity,10.0,1,"375,952,500",Engineering,"Corp.Office: Ali Mansion 1207/1099,Sadarghat Road, Chattogram. rnDhaka Office: Nasiruddin Tower,(4th floor), Bir Uttam Samsul Alam Road, 104/1, Kakril Dhaka-1000.",02333354901-10,02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
BXPHARMA,Beximco Pharmaceuticals Ltd.,146.70,146.70,3:45 PM,144.00 - 147.80,1.1,38.34,0.76%,142.40 - 255.40,146.00,"263,166.00",145.60,872,145.60,"64,953.920","15,000.00",,"4,461.12",Equity,10.0,1,"446,112,089",Pharmaceuticals & Chemicals,"17,Road # 02, Dhanmondi R/A,   Dhaka - 1209","58611891-5, 58612040-7 , 58611891-5, 58612040-7 Ext.10133","58613470, 9615523",bplcsd@beximco.net,http://www.beximcopharma.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7  Ext.-10140",csdbexim@bol-online.com
CAPMBDBLMF,CAPM BDBL Mutual Fund 01,10.00,9.80,3:45 PM,9.80 - 10.20,0.1,1.10,1.01%,8.80 - 15.00,10.20,"111,542.00",9.90,66,9.90,496.297,-,"12 Jan, 2017",501.00,Mutual Fund,10.0,1,"50,131,000",Mutual Funds,"Safura Tower, 20, Kemal Ataturk Avenue, Banani C/A, Dhaka- 1213.","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund,13.90,13.90,3:45 PM,13.80 - 14.10,0,0.26,0.00%,12.00 - 24.40,13.90,"18,842.00",13.90,30,13.90,929.264,-,"05 Mar, 2018",668.53,Mutual Fund,10.0,1,"66,853,500",Mutual Funds,"CAPM Company Limited, Safura Tower (5th Floor), 20 Kemal Ataturk Avenue, Banani C/A, Dhaka-1205","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
CENTRALINS,Central Insurance Company Ltd.,38.40,38.40,3:45 PM,38.40 - 41.40,-0.7,3.27,-1.79%,38.40 - 71.50,38.40,"84,207.00",39.10,232,39.10,"2,077.963","1,000.00",,531.45,Equity,10.0,1,"53,144,823",Insurance,"Central Insurance Bhabanrn7-8, Motijheel C/A, Dhaka-1000","9564251-4, 02-9554778",88-02-9567421-2,-,http://www.cicl-bd.com,Mr. Md. Jafar Ali FCS,01766535422,9578390,jafarali@cicl-bd.com
CENTRALPHL,Central Pharmaceuticals Limited,12.70,12.70,3:45 PM,12.60 - 13.10,-0.1,4.83,-0.78%,11.60 - 23.30,12.70,"379,938.00",12.80,295,12.80,"1,533.451","3,000.00","14 Aug, 2013","1,198.01",Equity,10.0,1,"119,800,844",Pharmaceuticals & Chemicals,"2-A/1, South-West Darus Salam Road, Mirpur-1, Dhaka-1216","+88-02-58056079, +88-02-48040674",,"info@centralphl.com, cplho1980@gmail.com",http://www.centralphl.com,Md. Tajul Islam,01814655831,02-9038733 Ext. 102,cplho1980@gmail.com
CITYBANK,The City Bank Ltd.,22.20,22.00,3:45 PM,21.90 - 22.30,0.1,11.59,0.45%,21.70 - 30.60,22.00,"526,843.00",22.10,385,22.10,"26,533.409","15,000.00",,"12,006.10",Equity,10.0,1,"1,200,606,743",Bank,"136, Bir Uttam Road, Gulshan Avenue, Gulshan-2, Dhaka-1212. SHARE OFFICE: 11, Dilkhusha C/A, Dhaka-1000",02223356471 (Direct) 02223385925 (Hunting) Ext.-  129 and 136,58816332,info@thecitybank.com,http://www.thecitybank.com,Md. Kafi Khan,01788768666,"58814635 (Direct)  58813483, 58814375  and 58813126 (Hunting)  Ext.-1031",kafikhan@thecitybank.com
CITYGENINS,City General Insurance Co. Ltd.,26.80,26.80,3:45 PM,26.80 - 26.90,-0.5,2.86,-1.83%,24.60 - 52.20,26.80,"106,762.00",27.30,114,27.30,"1,860.935","2,000.00",,681.66,Equity,10.0,1,"68,166,122",Insurance,"Baitul Hossain Building (4th Floor), 27 Dilkusha C/A Dhaka-1000.","0222 3387296, 0222 3387281, 02223387278, 02223387247,",880 222-3357509,share@cityinsurance.com.bd,http://www.cityinsurance.com.bd,MD.Hasan Khan,01714612075,9557735 Ext. 103,cs@cityinsurance.com.bd
CNATEX,C & A Textiles Limited,10.30,10.30,3:45 PM,9.90 - 10.40,0.4,27.06,4.04%,4.90 - 11.50,9.90,"2,678,382.00",9.90,313,9.90,"2,369.228","3,000.00","21 Jan, 2015","2,393.16",Equity,10.0,1,"239,316,000",Textile,"32/A, BSCIC Industrial Estate \r\nKalurghat (Extn.),Chandgaon\r\nChittagong, Bangladesh.","+880-31-670264, 672417",+880-31-2570639,info@cnagroupbd.com,,,,,
CONFIDCEM,Confidence Cement Ltd.,96.90,96.90,3:45 PM,95.50 - 101.80,0.1,7.52,0.10%,95.50 - 167.80,101.80,"77,384.00",96.80,255,96.80,"7,573.122","1,000.00",,782.35,Equity,10.0,1,"78,234,731",Cement,"Confidence Heights, Plot-1, Lane-1, Road-2, Block-L, Halishahar H/E, Agrabad Acces Road, Chattogram","031-711471-3, 711475, 2518962, 2510386, 9562431, 9574934","88-031-711474, 88 - 02 - 9104584",info.ccl@cg-bd.com,http://www.confidencecement.com.bd,"Md. Delowar Hossain, ACS",01704124276,"031-711471-3, 711475, 2518962, 2510386, Ext-222",delowar.hossain@cg-bd.com
CONTININS,Continental Insurance Ltd.,32.80,32.80,3:45 PM,32.80 - 35.00,-0.6,4.72,-1.80%,32.20 - 59.00,32.80,"143,915.00",33.40,102,33.40,"1,389.617",600.00,,416.05,Equity,10.0,1,"41,605,311",Insurance,"Advanced Noorani Tower (13th floor) 1, Mohakhali C/A, Dhaka -1212.",02-58817491-6,02-8170180,info@cilbd.com,http://www.cilbd.com,Mr. Ataur Rahman,01713370149,02-58817491-6,cs@cilbd.com
COPPERTECH,Coppertech Industries Limited,39.50,39.50,3:45 PM,37.70 - 39.90,1.1,23.42,2.86%,31.10 - 49.00,37.80,"600,253.00",38.40,454,38.40,"2,419.200",700.00,"05 Aug, 2019",630.00,Equity,10.0,1,"63,000,000",Engineering,"House: 214 (5th floor), Road: 13, Mohakhali DOHS, Dhaka-1206","+88-02-8715867 (ext. 123) , 8715809",+88-02-8715867,info@coppertechbd.com,http://www.coppertechbd.com,SK. Miraj Ali,01917701642,+88-02-8715867 (ext. 123),miraj@coppertechbd.com
CROWNCEMNT,Crown Cement PLC.,72.30,72.30,3:45 PM,68.40 - 72.40,2.6,3.41,3.73%,55.00 - 89.80,69.70,"48,862.00",69.70,97,69.70,"10,350.450","5,000.00",,"1,485.00",Equity,10.0,1,"148,500,000",Cement,"Delta Life Tower, (3rd & 6th Floor), Plot # 37, Road # 45 (South) & 90 (North), Gulshan-2, Dhaka-1212, Bangladesh.","+8802-222292669 (share Dept), 02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641",+8802-222263643,info@crowncement.com,http://www.crowncement.com,"Md. Mozharul Islam, FCS",+8801730709003,"02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641 Ext.- 120",cs@crowncement.com
CRYSTALINS,Crystal Insurance Company Limited,34.60,34.60,3:45 PM,34.40 - 35.10,-0.5,1.07,-1.42%,33.80 - 69.20,35.10,"31,047.00",35.10,50,35.10,"1,404.000","1,000.00","21 Dec, 2020",400.00,Equity,10.0,1,"40,000,000",Insurance,"DR Tower (14th floor),65/2/2, Box Culvert Road, Purana Paltan, Dhaka-1000",+88-02-9566889,02-9567205,info@ciclbd.com,http://www.ciclbd.com,,,,
CVOPRL,CVO Petrochemical Refinery Limited,172.20,172.20,3:45 PM,172.20 - 179.30,-3.5,59.47,-1.99%,108.20 - 272.00,172.30,"344,038.00",175.70,"1,259",175.70,"4,879.101","1,500.00",,277.70,Equity,10.0,1,"27,769,500",Fuel & Power,"37, Katalgonj, Panchlaish, Chattogram.rnrnDhaka Office: Anima Vista, Flat # A-3 (3rd Floor)rn30 Topkhana Road, Paltan, Dhaka - 1200.","+88 - 031 - 650525-26, 650533, 2557201-2, Dhaka Office:  +88-02-9551968.","+88-031-650134, 2557203, Dhaka Office: +88-02-9551965",info@cvopetro.com,http://www.cvopetro.com,Khwaza Mowin Uddin Hossain,+8801713104040,"+88-031-650525-26,  650533, 2557201-2",mowin@cvopetro.com
DACCADYE,The Dacca Dyeing & Manufacturing Co.Ltd.,18.30,18.30,3:45 PM,18.20 - 18.70,-0.2,13.56,-1.08%,16.80 - 29.50,18.20,"740,301.00",18.50,351,18.50,"1,612.339","3,000.00",,871.53,Equity,10.0,1,"87,153,453",Textile,"Sharif Mansion (4th Floor), 56-57, Motijheel C/A, Dhaka - 1000, Bangladesh.","9558131-32, 9550355",88-02-9588705,info@dd.qc-group.com,http://www.dacca-dyeing.com,,,,
DAFODILCOM,Daffodil Computers Ltd.,67.00,67.50,3:45 PM,67.00 - 68.70,-1,0.00,-1.47%,56.80 - 78.00,68.70,19.00,68.00,3,68.00,"3,394.034","2,000.00",,499.12,Equity,10.0,1,"49,912,262",IT Sector,"64/3, Leke Circus, Kalabang, Dhanmondi, Dhaka.","88-02-9116601,'88-02-9116602",880-2-58153690,info@daffodil-bd.com,https://daffodil-bd.com/,Md. Monir Hossain,01713493188,88-02-9116600,cs@daffodil-bd.com
DBH,Delta Brac Housing Finance Corp. Ltd.,59.00,59.50,3:45 PM,58.10 - 61.00,0.2,1.48,0.34%,58.10 - 88.50,61.00,"25,176.00",58.80,81,58.80,"11,465.433","2,000.00",,"1,949.90",Equity,10.0,1,"194,990,365",Financial Institutions,"Landmark Building (9th Floor), 12-14 Gulshan North C/A, Gulshan-2, Dhaka-1212","PABX: 09612334455, +8802 9842374, 58816001, 9882112",+8802 9882110,dbh@deltabrac.com,http://www.deltabrac.com,"Jashim Uddin, FCS",01613435138,"+8802 9842374, 58816001, 9882112, Ext. 197",jashim@deltabrac.com
DBH1STMF,DBH First Mutual Fund,7.20,7.10,3:45 PM,7.00 - 7.30,0.1,0.40,1.41%,6.90 - 10.00,7.10,"57,129.00",7.10,52,7.10,852.000,-,,"1,200.00",Mutual Fund,10.0,1,"120,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
DELTALIFE,Delta Life Insurance Company Ltd.,144.30,144.30,3:45 PM,144.30 - 148.80,-2.9,90.39,-1.97%,110.00 - 239.00,145.30,"624,633.00",147.20,809,147.20,"18,216.000","5,000.00",,"1,237.50",Equity,10.0,1,"123,750,000",Insurance,"Delta Life Tower, Plot # 37, Road # 90rnGulshan Circle-2, Dhaka-1212","'09613666000, 55051919 Ext. 271","88-02-8831739, 9899605",info@deltalife.org,http://www.deltalife.org,"Uttam Kumar Sadhu, FCMA, FCS",'+8801713406080,"09613666000, 55051919 Ext. 341",uttam.kumar@deltalife.org
DELTASPINN,Delta Spinners Ltd.,8.80,8.80,3:45 PM,8.80 - 8.80,-0.1,3.95,-1.12%,7.60 - 13.70,8.80,"448,345.00",8.90,85,8.90,"1,481.689","1,750.00",,"1,664.82",Equity,10.0,1,"166,481,964",Textile,"254-B, Khilgaon Chowdhury PararnDhaka-1219","47213597, 47213697",,delta.spinners@yahoo.com,http://www.delta-spinners.com.,Mr. Masudur Rahman,01711-541132,"47213597, 47213697  Ext. No. 107",delta.spinners@gmail.com
DESCO,Dhaka Electric Supply Company Ltd.,37.90,37.90,3:45 PM,37.20 - 38.20,0.1,1.91,0.26%,34.00 - 47.60,37.30,"50,487.00",37.80,57,37.80,"15,028.139","20,000.00",,"3,975.70",Equity,10.0,1,"397,569,804",Fuel & Power,"22/B, Faruk Sarani, Nikunja-2rnKhilkhet, Dhaka-1229","8900110-11 8900820-23, 8900330",8900100,csdesco@desco.org.bd,http://www.desco.org.bd,Engr. Md. Atiqur Rahman,02-8900330,8900110-11 (Ext. 221) 8900330,csdesco@desco.org.bd
DESHBANDHU,Deshbandhu Polymer Limited,19.30,19.30,3:45 PM,19.30 - 19.80,-0.3,11.35,-1.53%,15.10 - 29.80,19.30,"587,429.00",19.60,358,19.60,"1,202.757","3,000.00",,613.65,Equity,10.0,1,"61,365,150",Engineering,"Mostafa Center, House No 59, Road No 27, Block K, Banani, Dhaka 1213, Bangladesh.","+88-02-58816731, 1713375251",+88 02  8815571,cs@deshbandhugroup.com.bd,http://www.deshbandhupolymer.com,Mr.Liakat Ali,1713375221,"+88-02-58816731 ,Ext.-221",cs@deshbandhugroup.com.bd
DGIC,Desh General Insurance Company Limited,27.60,27.70,3:45 PM,27.60 - 28.10,-0.4,0.95,-1.43%,27.60 - 52.90,28.10,"34,056.00",28.00,53,28.00,"1,120.000","1,000.00","29 Mar, 2021",400.00,Equity,10.0,1,"40,000,000",Insurance,"Jiban Bima Bhaban,Level# 5, Front Block,10 Dilkusha C/A, Dhaka – 1000",02-9571642-5,02-9561920,info@deshinsurancebd.com,http://www.deshinsurancebd.com,,,,
